Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
7.5,55.0,3.0,4.0,3.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
3.0,34.0,3.0,4.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,
2.8,200.0,4.0,5.0,4.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
5.25,28.0,4.0,3.0,3.0,"Quận 5, Thành phố Hồ Chí Minh",False,Good
19.95,210.0,,,,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
1.4,68.0,,,,"Hóc Môn, Thành phố Hồ Chí Minh",True,
5.5,85.0,2.0,4.0,4.0,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
0.55,40.0,,2.0,3.0,"Hóc Môn, Thành phố Hồ Chí Minh",True,Good
8.8,82.0,2.0,2.0,2.0,"Quận 9, Thành phố Hồ Chí Minh",True,Good
0.007,100.0,1.0,2.0,1.0,"Hóc Môn, Thành phố Hồ Chí Minh",False,
4.8,65.0,4.0,6.0,4.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
6.78,60.0,4.0,3.0,2.0,"Quận 10, Thành phố Hồ Chí Minh",False,
8.5,72.0,5.0,,4.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
9.4,60.0,3.0,4.0,4.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
3.0,100.0,3.0,3.0,3.0,"Quận 12, Thành phố Hồ Chí Minh",True,
2.2,12.0,,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
4.8,60.0,3.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
10.5,80.0,6.0,7.0,7.0,"Tân Bình, Thành phố Hồ Chí Minh",False,
8.7,56.0,4.0,4.0,4.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
4.4,35.0,3.0,2.0,2.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
11400.0,85.0,3.0,4.0,4.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
8.0,192.0,,3.0,2.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
7.58,54.0,6.0,5.0,7.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
7.8,60.0,3.0,4.0,5.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
5.0,74.0,3.0,4.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
6.5,60.0,,2.0,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
2.35,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",True,Good
6.5,48.0,6.0,,,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
10.0,3.0,,,,Thành phố Hồ Chí Minh,False,Good
3.0,33.0,2.0,2.0,2.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
5.51,63.0,2.0,4.0,,"Phú Nhuận, Thành phố Hồ Chí Minh",False,Good
19.0,226.0,4.0,3.0,3.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
5.65,97.0,3.0,,,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
3.0,27.0,4.0,2.0,2.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
6.4,60.0,3.0,4.0,4.0,"Tân Phú, Thành phố Hồ Chí Minh",False,
8.8,112.0,5.0,5.0,5.0,"Bình Thạnh, Thành phố Hồ Chí Minh",True,
2.3,16.0,4.0,2.0,2.0,"Quận 6, Thành phố Hồ Chí Minh",False,Good
4.0,60.0,3.0,2.0,2.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
10.0,76.0,6.0,4.0,,Thành phố Hồ Chí Minh,False,Good
6.8,54.0,4.0,5.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
3.65,50.0,3.0,2.0,,Thành phố Hồ Chí Minh,False,Good
4.5,31.0,3.0,2.0,2.0,"Quận 3, Thành phố Hồ Chí Minh",True,Good
7.35,88.0,3.0,5.0,3.0,Thành phố Hồ Chí Minh,True,Good
6.5,56.0,5.0,5.0,5.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
5.7,55.0,1.0,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
11.6,119.0,4.0,6.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
11.0,153.0,3.0,4.0,4.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
335.0,32.0,3.0,4.0,3.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
1.85,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",False,Good
6.7,96.0,4.0,4.0,,Thành phố Hồ Chí Minh,False,Good
82.0,382.0,,1.0,1.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
12.0,48.0,5.0,4.0,3.0,"Quận 10, Thành phố Hồ Chí Minh",False,Good
12.99,114.0,3.0,,12.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
8.9,54.0,4.0,3.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
73.0,37.0,3.0,5.0,6.0,"Quận 1, Thành phố Hồ Chí Minh",False,Good
4.6,33.0,,2.0,2.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
5.0,78.0,2.0,2.0,2.0,"Quận 2, Thành phố Hồ Chí Minh",True,
3.0,21.0,4.0,4.0,4.0,"Quận 7, Thành phố Hồ Chí Minh",False,
2.88,40.0,3.0,4.0,3.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
16.5,176.0,6.0,7.0,7.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,
14.3,126.0,4.0,8.0,8.0,Thành phố Hồ Chí Minh,True,
2.0,60.0,1.0,,,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
5.3,70.0,3.0,4.0,3.0,"Quận 7, Thành phố Hồ Chí Minh",False,Good
5.4,48.0,2.0,2.0,2.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
1.55,42.0,2.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.9,77.0,3.0,3.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
3.0,50.0,3.0,,3.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
11.5,100.0,5.0,5.0,10.0,"Quận 3, Thành phố Hồ Chí Minh",False,Good
7.9,63.0,3.0,2.0,2.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,
5.4,60.0,4.0,3.0,2.0,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
6.5,48.0,6.0,,,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
7.3,46.0,3.0,6.0,9.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,Good
3.8,50.0,4.0,10.0,5.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,
3.99,60.0,,3.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,
15.0,90.0,5.0,7.0,,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
2.15,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",True,Good
5.1,43.0,3.0,3.0,4.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
4.5,49.0,2.0,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,
5.8,62.0,4.0,4.0,4.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
19.5,173.0,3.0,10.0,10.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
23.0,133.0,4.0,6.0,5.0,"Tân Bình, Thành phố Hồ Chí Minh",False,
3.8,62.0,6.0,3.0,3.0,"Quận 4, Thành phố Hồ Chí Minh",False,Good
2.85,27.0,3.0,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
4.4,110.0,2.0,2.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
1.95,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",False,Good
6.6,48.0,5.0,4.0,5.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
13.5,84.0,6.0,5.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
4.99,56.0,2.0,2.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",True,
5.6,105.0,,2.0,2.0,"Quận 12, Thành phố Hồ Chí Minh",True,Good
8.8,123.0,4.0,3.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
0.45,52.0,2.0,6.0,2.0,Thành phố Hồ Chí Minh,False,Good
2.95,45.0,3.0,2.0,,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
6.4,50.0,5.0,,,"Bình Thạnh, Thành phố Hồ Chí Minh",True,Good
6.5,60.0,5.0,6.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
12.0,300.0,3.0,6.0,3.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
7.6,248.0,4.0,3.0,2.0,"Bình Chánh, Thành phố Hồ Chí Minh",True,Good
